king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
55,001101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
55,001101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
55,001101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
56,101100,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
56,101100,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
56,101100,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
56,101100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
56,101100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
56,101100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
57,011011,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
57,011011,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
57,011011,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
57,011011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
57,011011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
57,011011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
58,110110,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
58,110110,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
58,110110,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
58,110110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
58,110110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
58,110110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
59,110010,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
59,110010,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
59,110010,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
59,110010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
59,110010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
59,110010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
60,010011,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
60,010011,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
60,010011,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
60,010011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
60,010011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
60,010011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
61,110011,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
61,110011,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
61,110011,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
61,110011,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
61,110011,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
61,110011,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
62,001100,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
62,001100,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
62,001100,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
62,001100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
62,001100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
62,001100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
63,101010,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
63,101010,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
63,101010,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
63,101010,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
63,101010,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
63,101010,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
64,010101,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
64,010101,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
64,010101,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
64,010101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
64,010101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
64,010101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
