king_wen,binary_l1_to_l6,line,edge,modality,valence,commit_direction,terminal_sign,earlier_sign,later_sign
11,111000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
12,000111,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
12,000111,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
12,000111,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
12,000111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
12,000111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
12,000111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
13,101111,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
13,101111,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
13,101111,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
13,101111,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
13,101111,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
13,101111,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
14,111101,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
14,111101,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
14,111101,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
14,111101,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
14,111101,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
14,111101,6,U-R,Mutable,Yang,forward(->),Virgo,Gemini,Virgo
15,001000,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
15,001000,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
15,001000,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
15,001000,4,I-U,Fixed,Yin,reverse(<-),Scorpio,Scorpio,Aquarius
15,001000,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
15,001000,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
16,000100,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
16,000100,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
16,000100,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
16,000100,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
16,000100,5,P-U,Cardinal,Yin,reverse(<-),Aries,Aries,Libra
16,000100,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
17,100110,1,P-I,Mutable,Yang,forward(->),Pisces,Sagittarius,Pisces
17,100110,2,I-R,Cardinal,Yin,reverse(<-),Cancer,Cancer,Capricorn
17,100110,3,P-R,Fixed,Yin,reverse(<-),Taurus,Taurus,Leo
17,100110,4,I-U,Fixed,Yang,forward(->),Aquarius,Scorpio,Aquarius
17,100110,5,P-U,Cardinal,Yang,forward(->),Libra,Aries,Libra
17,100110,6,U-R,Mutable,Yin,reverse(<-),Gemini,Gemini,Virgo
18,011001,1,P-I,Mutable,Yin,reverse(<-),Sagittarius,Sagittarius,Pisces
18,011001,2,I-R,Cardinal,Yang,forward(->),Capricorn,Cancer,Capricorn
18,011001,3,P-R,Fixed,Yang,forward(->),Leo,Taurus,Leo
